"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Austria",8,2,2,2,0,-0.532,-0.044,0.169,-0.218,-0.352,-0.614,-0.238,0.13,0.007,0.159,0.996,0.734,0.244,0.846,1,1,0.996,0.068,0.428,0.228,0.014,0.484,0.44,0.34,0,0,0.004,0.142,0.972,0.444,TRUE,TRUE
"Belgium",8,2,4,5,1,-0.609,0.121,0.208,0.027,-0.161,-0.312,-0.377,-0.229,0.275,0.06,0.986,0.078,0.282,0.436,0.79,1,1,1,0.092,0.388,0.03,0.166,0.558,0.906,0.42,0,0,0.002,0.194,0.808,TRUE,TRUE
"Bulgaria",8,2,1,1,1,-0.184,-0.176,-0.485,-0.621,NA,-0.629,0.529,0.632,0.307,-0.511,0.62,0.752,0.806,0.934,NA,1,0,0,0.214,0.882,0.772,0.476,0.346,0.124,NA,0,0,0,0.406,0.192,TRUE,TRUE
"Croatia",8,2,1,1,0,-0.66,0.045,0.702,-0.043,NA,-0.136,-0.699,-0.58,0.5,-0.07,0.954,0.358,0.028,0.522,NA,0.886,1,1,0.058,0.536,0.122,0.842,0.074,0.924,NA,0.196,0,0,0.118,0.864,TRUE,TRUE
"Cyprus",8,2,2,2,1,-0.35,0.169,0.32,0.041,0.061,-0.427,-0.159,0.071,0.117,-0.222,0.954,0.006,0.046,0.4,0.3,0.998,0.94,0.258,0.22,0.888,0.1,0.006,0.126,0.814,0.63,0.01,0.136,0.49,0.406,0.21,TRUE,TRUE
"Czechia",8,2,2,2,1,-0.392,-0.06,-0.176,-0.211,-0.297,-0.09,-0.356,-0.278,0.262,-0.201,0.938,0.724,0.722,0.796,0.945,0.918,1,1,0.116,0.776,0.152,0.462,0.544,0.454,0.118,0.152,0,0,0.212,0.414,TRUE,TRUE
"Denmark",8,2,1,1,1,-0.524,-0.333,0.81,0.905,NA,-0.293,-0.714,-0.429,-0.048,-0.238,0.728,0.79,0.136,0.034,NA,0.878,0.998,0.946,0.574,0.6,0.658,0.468,0.314,0.092,NA,0.24,0.016,0.168,1,0.8,TRUE,TRUE
"Estonia",8,2,1,1,1,0.265,0.143,-0.116,0.037,0.239,-0.088,0.143,0.101,0.512,0.386,0.206,0.102,0.634,0.438,0.112,0.842,0.1,0.196,0.018,0.078,0.448,0.186,0.762,0.916,0.224,0.31,0.176,0.356,0.036,0.168,TRUE,TRUE
"Finland",8,2,2,1,1,-0.192,0.183,0.366,0.347,0.275,-0.27,-0.061,0.091,-0.048,0.291,0.712,0.046,0.122,0.086,0.013,1,0.74,0.18,0.602,0.11,0.59,0.07,0.26,0.196,0.091,0,0.518,0.362,0.822,0.242,TRUE,TRUE
"France",8,2,5,5,1,0.106,0.053,-0.177,-0.219,-0.078,-0.005,0.138,0.063,0.358,0.045,0.304,0.118,0.83,0.846,0.791,0.558,0.008,0.15,0.006,0.364,0.566,0.214,0.306,0.302,0.479,0.858,0.016,0.288,0.01,0.818,TRUE,TRUE
"Germany",8,2,5,2,1,-0.622,0.046,-0.327,-0.487,-0.622,-0.667,-0.174,0.228,0.337,-0.236,0.994,0.25,0.856,0.946,0.993,1,0.972,0.008,0.064,0.808,0.012,0.602,0.306,0.118,0.01,0,0.062,0.022,0.134,0.362,TRUE,TRUE
"Greece",8,2,2,1,1,-0.464,-0.025,0.328,-0.002,NA,-0.43,-0.221,0.026,-0.04,-0.171,0.946,0.578,0.114,0.494,NA,1,0.992,0.39,0.578,0.722,0.118,0.806,0.256,0.988,NA,0,0.012,0.752,0.844,0.512,TRUE,TRUE
"Hungary",8,2,3,1,1,-0.255,0.219,0.085,-0.217,-0.071,-0.202,-0.339,-0.302,-0.029,-0.467,0.68,0.05,0.41,0.672,0.574,0.996,0.996,0.994,0.53,0.948,0.568,0.128,0.824,0.612,0.766,0.008,0.004,0.008,0.928,0.096,TRUE,TRUE
"Ireland",8,2,2,3,1,-0.24,0.069,0.323,0.129,-0.168,0.032,-0.263,-0.224,0.494,-0.277,0.826,0.188,0.096,0.272,0.842,0.276,1,0.998,0,0.89,0.386,0.412,0.214,0.602,0.232,0.574,0,0.006,0.002,0.194,TRUE,TRUE
"Italy",8,2,5,4,0,-0.139,0.047,0.128,0.177,0.023,-0.014,-0.164,-0.206,0.158,-0.153,0.702,0.176,0.282,0.184,0.438,0.558,0.976,0.998,0.2,0.798,0.57,0.42,0.572,0.406,0.881,0.876,0.032,0.004,0.374,0.422,TRUE,TRUE
"Latvia",8,2,2,2,0,-0.403,-0.254,0.38,0.297,0.317,-0.396,-0.229,-0.013,0.281,0.159,0.842,0.97,0.166,0.226,0.117,1,0.972,0.478,0.17,0.284,0.304,0.07,0.334,0.464,0.249,0,0.056,0.92,0.34,0.634,TRUE,TRUE
"Lithuania",8,2,1,1,1,-0.661,0.271,0.429,-0.023,NA,-0.06,-0.251,-0.099,-0.13,0.083,0.944,0.082,0.17,0.498,NA,0.732,0.968,0.77,0.642,0.374,0.152,0.176,0.428,0.962,NA,0.554,0.082,0.536,0.702,0.838,TRUE,TRUE
"Luxembourg",8,2,4,4,0,-0.719,0.261,0.506,-0.114,-0.121,-0.617,-0.569,-0.112,0.254,0.187,0.992,0.002,0.08,0.688,0.699,1,1,0.922,0.086,0.196,0.024,0.002,0.192,0.57,0.49,0,0,0.148,0.168,0.394,TRUE,TRUE
"Malta",8,2,2,2,1,-0.714,-0.16,-0.366,-0.683,NA,-0.386,-0.215,0.023,-0.491,-0.411,0.978,0.758,0.726,0.966,NA,1,0.962,0.474,0.95,0.838,0.06,0.428,0.462,0.08,NA,0,0.088,0.884,0.104,0.272,TRUE,TRUE
"Netherlands",8,2,2,2,1,-0.686,0.181,-0.305,-0.343,-0.384,-0.663,-0.124,0.229,0.152,0.438,0.968,0.154,0.706,0.774,0.891,1,0.784,0.096,0.352,0.08,0.084,0.32,0.546,0.442,0.168,0,0.508,0.16,0.67,0.208,TRUE,TRUE
"Poland",8,2,1,1,1,-0.201,0.042,0.307,0.249,-0.188,0.143,-0.185,-0.206,0.392,-0.735,0.718,0.36,0.18,0.208,0.801,0.078,0.942,0.962,0.086,0.998,0.642,0.756,0.43,0.51,0.435,0.146,0.134,0.094,0.148,0.002,TRUE,TRUE
"Portugal",8,2,2,3,1,-0.792,0.072,0.841,0.417,0.203,-0.249,-0.564,-0.436,-0.129,0.117,0.994,0.29,0,0.114,0.093,1,1,1,0.702,0.318,0.008,0.642,0.002,0.228,0.33,0,0,0,0.602,0.698,TRUE,TRUE
"Romania",8,2,1,1,0,-0.567,-0.022,0.481,0.498,0.323,-0.156,-0.567,-0.403,0.351,0.186,0.918,0.538,0.11,0.088,0.071,0.908,1,1,0.134,0.332,0.15,0.92,0.24,0.21,0.162,0.168,0.002,0.004,0.25,0.64,TRUE,TRUE
"Slovakia",8,2,3,1,1,-0.449,0.057,-0.06,-0.428,-0.465,-0.361,-0.187,0.095,0.095,0.12,0.934,0.212,0.546,0.898,0.967,1,0.972,0.168,0.35,0.318,0.154,0.548,0.86,0.17,0.059,0,0.046,0.324,0.672,0.682,TRUE,TRUE
"Slovenia",8,2,1,1,1,0.019,0.238,0.136,0.058,0.11,0.02,-0.228,-0.144,-0.149,-0.149,0.49,0.004,0.304,0.336,0.284,0.4,0.982,0.916,0.728,0.696,0.958,0.006,0.678,0.828,0.567,0.824,0.028,0.17,0.532,0.608,TRUE,TRUE
"Sweden",8,2,3,4,0,-0.671,0.03,-0.004,0.177,0.159,-0.503,-0.446,-0.203,0.117,-0.688,0.96,0.342,0.52,0.336,0.305,1,1,0.93,0.374,0.996,0.082,0.878,1,0.71,0.676,0,0,0.18,0.736,0.01,TRUE,TRUE
"United Kingdom",8,2,2,5,1,0.203,0.06,0.14,0.238,-0.307,0.256,0.013,-0.095,0.413,0.229,0.302,0.244,0.366,0.258,0.918,0,0.516,0.816,0.038,0.172,0.578,0.566,0.71,0.464,0.175,0,0.93,0.438,0.09,0.458,TRUE,TRUE
"Austria",9,2,2,2,0,-0.548,-0.046,0.166,-0.257,-0.371,-0.603,-0.268,0.151,-0.023,0.181,0.984,0.716,0.232,0.848,1,1,1,0.03,0.58,0.208,0.022,0.522,0.512,0.312,0,0,0,0.062,0.874,0.404,TRUE,TRUE
"Belgium",9,2,4,5,1,-0.57,0.093,0.224,0.001,-0.174,-0.298,-0.374,-0.225,0.252,-0.018,0.974,0.14,0.264,0.508,0.864,1,1,0.998,0.15,0.522,0.056,0.298,0.538,1,0.349,0,0,0.008,0.274,0.942,TRUE,TRUE
"Bulgaria",9,2,1,1,1,-0.281,-0.081,-0.539,-0.647,NA,-0.581,0.433,0.5,0.519,-0.637,0.682,0.588,0.816,0.924,NA,1,0.006,0.004,0.044,0.964,0.668,0.782,0.35,0.16,NA,0,0.01,0.004,0.1,0.066,TRUE,TRUE
"Croatia",9,2,1,1,0,-0.665,0.193,0.764,-0.155,NA,-0.015,-0.841,-0.854,0.467,-0.09,0.926,0.206,0.022,0.574,NA,0.536,1,1,0.072,0.548,0.168,0.448,0.07,0.798,NA,0.914,0,0,0.144,0.856,TRUE,TRUE
"Cyprus",9,2,2,2,1,-0.382,0.219,0.359,0.057,0.071,-0.415,-0.18,0.049,0.107,-0.258,0.97,0,0.034,0.364,0.167,0.988,0.938,0.302,0.24,0.9,0.084,0,0.096,0.788,0.479,0.018,0.108,0.596,0.496,0.18,TRUE,TRUE
"Czechia",9,2,2,2,1,-0.401,-0.079,-0.178,-0.206,-0.284,-0.057,-0.371,-0.269,0.272,-0.137,0.926,0.786,0.71,0.744,0.909,0.834,1,0.998,0.098,0.694,0.16,0.358,0.554,0.478,0.129,0.354,0,0.004,0.214,0.574,TRUE,TRUE
"Denmark",9,2,1,1,1,-0.552,-0.467,0.733,1,NA,-0.138,-0.333,-0.2,-0.067,-0.138,0.744,0.884,0.18,0.014,NA,0.666,0.882,0.812,0.624,0.5,0.62,0.334,0.442,0.048,NA,0.682,0.43,0.696,1,0.88,TRUE,TRUE
"Estonia",9,2,1,1,1,0.296,0.101,-0.068,0.046,0.23,-0.087,0.222,0.134,0.488,0.368,0.226,0.186,0.562,0.434,0.123,0.864,0.014,0.114,0.02,0.08,0.424,0.422,0.884,0.902,0.276,0.258,0.026,0.234,0.042,0.228,TRUE,TRUE
"Finland",9,2,2,1,1,-0.21,0.114,0.326,0.308,0.276,-0.244,-0.059,0.07,-0.039,0.279,0.762,0.174,0.146,0.148,0.073,1,0.73,0.208,0.562,0.136,0.54,0.354,0.322,0.292,0.073,0,0.518,0.436,0.846,0.294,TRUE,TRUE
"France",9,2,5,5,1,0.082,0.097,-0.16,-0.219,-0.079,0.013,0.093,0.015,0.343,-0.017,0.338,0.042,0.79,0.826,0.683,0.31,0.054,0.418,0.006,0.506,0.72,0.05,0.438,0.318,0.548,0.614,0.108,0.786,0.006,0.938,TRUE,TRUE
"Germany",9,2,5,2,1,-0.645,0.036,-0.319,-0.543,-0.629,-0.667,-0.146,0.262,0.288,-0.18,0.986,0.298,0.836,0.96,0.995,1,0.952,0.006,0.11,0.732,0.024,0.712,0.312,0.072,0.005,0,0.108,0.006,0.214,0.564,TRUE,TRUE
"Greece",9,2,2,1,1,-0.48,-0.079,0.349,0.053,NA,-0.414,-0.266,-0.001,0.031,-0.159,0.94,0.718,0.136,0.444,NA,1,0.998,0.508,0.454,0.702,0.124,0.506,0.3,0.89,NA,0,0.002,0.986,0.9,0.548,TRUE,TRUE
"Hungary",9,2,3,1,1,-0.294,0.352,0.178,-0.185,0.018,-0.145,-0.328,-0.316,0.037,-0.414,0.738,0.022,0.304,0.65,0.41,0.972,0.998,1,0.47,0.898,0.542,0.032,0.674,0.696,0.97,0.056,0.006,0.006,0.902,0.188,TRUE,TRUE
"Ireland",9,2,2,3,1,-0.293,0.13,0.409,0.197,-0.12,0.072,-0.302,-0.26,0.503,-0.381,0.85,0.064,0.058,0.248,0.825,0.09,1,0.998,0,0.946,0.318,0.12,0.132,0.472,0.413,0.186,0,0.004,0.006,0.1,TRUE,TRUE
"Italy",9,2,5,4,0,-0.143,0.03,0.165,0.226,0.039,0.008,-0.179,-0.236,0.151,-0.14,0.736,0.312,0.234,0.126,0.361,0.452,0.998,1,0.228,0.734,0.572,0.63,0.496,0.272,0.829,0.934,0.008,0,0.412,0.52,TRUE,TRUE
"Latvia",9,2,2,2,0,-0.47,-0.292,0.413,0.302,0.365,-0.377,-0.282,-0.067,0.453,0.197,0.866,0.974,0.156,0.21,0.079,1,0.986,0.696,0.066,0.28,0.25,0.064,0.352,0.49,0.171,0,0.032,0.616,0.122,0.614,TRUE,TRUE
"Lithuania",9,2,1,1,1,-0.78,0.247,0.577,-0.079,NA,-0.081,-0.32,-0.19,-0.099,0.193,0.97,0.122,0.132,0.518,NA,0.736,0.978,0.88,0.594,0.3,0.068,0.3,0.268,0.878,NA,0.488,0.048,0.24,0.798,0.688,TRUE,TRUE
"Luxembourg",9,2,4,4,0,-0.733,0.141,0.558,-0.109,-0.073,-0.622,-0.57,-0.128,0.242,0.214,0.99,0.036,0.088,0.678,0.634,1,1,0.966,0.11,0.206,0.026,0.054,0.182,0.606,0.764,0,0,0.092,0.212,0.418,TRUE,TRUE
"Malta",9,2,2,2,1,-0.729,-0.207,-0.46,-0.752,NA,-0.302,-0.31,-0.085,-0.505,-0.488,0.966,0.796,0.808,0.978,NA,1,0.986,0.762,0.938,0.884,0.078,0.322,0.356,0.03,NA,0,0.032,0.552,0.126,0.198,TRUE,TRUE
"Netherlands",9,2,2,2,1,-0.674,0.021,-0.316,-0.358,-0.416,-0.628,-0.253,0.126,0.158,0.495,0.944,0.41,0.754,0.828,0.897,1,0.948,0.262,0.356,0.116,0.124,0.932,0.542,0.416,0.141,0,0.14,0.5,0.732,0.236,TRUE,TRUE
"Poland",9,2,1,1,1,-0.214,0.037,0.356,0.271,-0.022,0.185,-0.231,-0.259,0.368,-0.772,0.68,0.4,0.184,0.242,0.402,0.032,0.96,0.978,0.102,0.992,0.65,0.862,0.426,0.554,0.938,0.066,0.056,0.04,0.198,0.01,TRUE,TRUE
"Portugal",9,2,2,3,1,-0.843,0.069,0.847,0.452,0.073,-0.216,-0.581,-0.444,-0.19,0.238,1,0.302,0,0.124,0.352,0.994,1,1,0.804,0.234,0.008,0.692,0.008,0.236,0.845,0.008,0,0,0.434,0.508,TRUE,TRUE
"Romania",9,2,1,1,0,-0.686,-0.019,0.657,0.61,0.338,-0.072,-0.686,-0.467,0.41,0.295,0.968,0.462,0.064,0.078,0.04,0.732,1,1,0.108,0.244,0.108,0.958,0.144,0.148,0.212,0.556,0,0,0.216,0.492,TRUE,TRUE
"Slovakia",9,2,3,1,1,-0.459,0.037,-0.027,-0.443,-0.451,-0.345,-0.186,0.076,0.05,0.15,0.928,0.31,0.528,0.914,0.962,1,0.972,0.242,0.422,0.302,0.158,0.738,0.956,0.178,0.066,0,0.064,0.476,0.846,0.638,TRUE,TRUE
"Slovenia",9,2,1,1,1,0.035,0.208,0.122,0.06,0.109,0.051,-0.201,-0.155,-0.166,-0.126,0.482,0.04,0.364,0.426,0.333,0.294,0.976,0.932,0.724,0.652,0.93,0.06,0.734,0.864,0.63,0.526,0.048,0.144,0.538,0.696,TRUE,TRUE
"Sweden",9,2,3,4,0,-0.724,0.105,0.067,0.133,0.127,-0.482,-0.419,-0.152,0.029,-0.667,0.964,0.272,0.472,0.392,0.358,1,1,0.834,0.492,0.976,0.088,0.61,0.914,0.796,0.7,0,0.002,0.32,0.946,0.046,TRUE,TRUE
"United Kingdom",9,2,2,5,1,0.203,0.015,0.21,0.257,-0.36,0.306,0.022,-0.096,0.398,0.224,0.306,0.398,0.306,0.216,0.935,0,0.438,0.804,0.066,0.218,0.63,0.904,0.584,0.44,0.139,0,0.882,0.418,0.124,0.512,TRUE,TRUE
"Austria",10,2,2,2,0,-0.568,0.007,0.215,-0.248,-0.334,-0.591,-0.285,0.133,-0.073,0.192,0.996,0.462,0.23,0.812,1,1,1,0.05,0.626,0.192,0.012,0.94,0.424,0.346,0,0,0,0.112,0.728,0.412,TRUE,TRUE
"Belgium",10,2,4,5,1,-0.569,0.151,0.202,-0.038,-0.173,-0.274,-0.405,-0.246,0.247,-0.04,0.972,0.082,0.32,0.536,0.811,1,1,0.998,0.15,0.554,0.068,0.158,0.65,0.934,0.362,0,0,0.002,0.3,0.89,TRUE,TRUE
"Bulgaria",10,2,1,1,1,-0.083,0.05,-0.683,-0.717,NA,-0.524,0.39,0.39,0.483,-0.733,0.556,0.394,0.88,0.95,NA,1,0.012,0.016,0.116,0.954,0.93,0.878,0.24,0.114,NA,0,0.018,0.02,0.204,0.07,TRUE,TRUE
"Croatia",10,2,1,1,0,-0.67,0.277,0.738,-0.272,NA,0.041,-0.8,-0.817,0.418,-0.155,0.93,0.118,0.046,0.656,NA,0.368,1,1,0.144,0.598,0.172,0.264,0.112,0.656,NA,0.692,0,0,0.27,0.762,TRUE,TRUE
"Cyprus",10,2,2,2,1,-0.402,0.217,0.386,0.09,0.093,-0.402,-0.198,0.018,0.111,-0.29,0.958,0.002,0.048,0.352,0.324,0.996,0.956,0.388,0.264,0.932,0.08,0.002,0.086,0.702,0.486,0.016,0.068,0.822,0.496,0.158,TRUE,TRUE
"Czechia",10,2,2,2,1,-0.37,-0.072,-0.172,-0.215,-0.33,-0.037,-0.363,-0.275,0.277,-0.158,0.918,0.762,0.658,0.75,0.934,0.714,1,0.998,0.134,0.718,0.244,0.41,0.59,0.48,0.116,0.53,0,0.006,0.25,0.578,TRUE,TRUE
"Denmark",10,2,1,1,1,-0.105,-0.6,0.949,0.949,NA,-0.527,0.2,0.2,-0.2,0.105,0.682,0.936,0.024,0.02,NA,0.908,0.4,0.406,0.712,0.31,0.928,0.318,0.14,0.074,NA,0.176,0.8,0.802,0.864,0.9,TRUE,TRUE
"Estonia",10,2,1,1,1,0.341,0.13,-0.018,0.065,0.205,-0.054,0.214,0.145,0.473,0.324,0.174,0.162,0.532,0.46,0.188,0.716,0.032,0.096,0.044,0.168,0.366,0.346,0.962,0.854,0.365,0.55,0.062,0.188,0.094,0.352,TRUE,TRUE
"Finland",10,2,2,1,1,-0.222,0.128,0.297,0.267,0.283,-0.209,-0.08,0.017,-0.082,0.297,0.732,0.12,0.198,0.184,0.037,1,0.816,0.428,0.614,0.112,0.508,0.282,0.382,0.386,0.074,0,0.372,0.816,0.728,0.278,TRUE,TRUE
"France",10,2,5,5,1,0.06,0.172,-0.132,-0.215,-0.076,0.027,0.057,-0.026,0.362,-0.069,0.376,0.002,0.76,0.806,0.754,0.146,0.12,0.672,0.016,0.656,0.764,0.002,0.476,0.352,0.478,0.306,0.288,0.654,0.024,0.684,TRUE,TRUE
"Germany",10,2,5,2,1,-0.674,-0.017,-0.347,-0.597,-0.668,-0.662,-0.11,0.278,0.216,-0.114,0.992,0.526,0.832,0.976,1,1,0.868,0.002,0.178,0.602,0.018,0.874,0.328,0.05,0.003,0,0.252,0.004,0.38,0.71,TRUE,TRUE
"Greece",10,2,2,1,1,-0.497,-0.137,0.361,0.077,NA,-0.401,-0.279,-0.047,-0.014,-0.179,0.938,0.842,0.134,0.43,NA,1,1,0.712,0.54,0.734,0.164,0.308,0.312,0.832,NA,0,0,0.618,0.956,0.512,TRUE,TRUE
"Hungary",10,2,3,1,1,-0.299,0.395,0.229,-0.212,0,-0.074,-0.32,-0.345,0.037,-0.441,0.702,0.004,0.298,0.668,0.378,0.816,1,1,0.46,0.892,0.6,0.006,0.616,0.662,1,0.336,0,0,0.93,0.224,TRUE,TRUE
"Ireland",10,2,2,3,1,-0.35,0.153,0.441,0.163,NA,0.105,-0.32,-0.271,0.539,-0.486,0.896,0.062,0.046,0.268,NA,0.016,1,1,0.002,0.976,0.232,0.102,0.12,0.582,NA,0.046,0,0,0.002,0.044,TRUE,TRUE
"Italy",10,2,5,4,0,-0.15,0.073,0.215,0.265,0.068,0.035,-0.196,-0.281,0.162,-0.129,0.758,0.112,0.156,0.118,0.266,0.324,0.992,1,0.2,0.712,0.548,0.218,0.34,0.254,0.641,0.62,0.008,0,0.388,0.5,TRUE,TRUE
"Latvia",10,2,2,2,0,-0.613,-0.3,0.495,0.379,0.534,-0.322,-0.274,-0.105,0.658,0.294,0.94,0.966,0.114,0.172,0.028,1,0.994,0.806,0.01,0.214,0.136,0.056,0.258,0.38,0.046,0,0.028,0.412,0.022,0.49,TRUE,TRUE
"Lithuania",10,2,1,1,1,-0.721,0.281,0.568,-0.088,NA,-0.106,-0.324,-0.176,0.037,0.335,0.936,0.118,0.152,0.546,NA,0.804,0.97,0.846,0.504,0.212,0.126,0.274,0.34,0.89,NA,0.35,0.06,0.316,0.952,0.494,TRUE,TRUE
"Luxembourg",10,2,4,4,0,-0.748,0.239,0.647,-0.134,-0.036,-0.625,-0.57,-0.128,0.208,0.219,0.994,0.016,0.03,0.698,0.551,1,1,0.962,0.154,0.19,0.014,0.018,0.072,0.614,0.879,0,0,0.082,0.314,0.424,TRUE,TRUE
"Malta",10,2,2,2,1,-0.694,0,-0.404,-0.665,NA,-0.196,-0.182,-0.182,-0.562,-0.564,0.948,0.438,0.746,0.93,NA,0.982,0.922,0.904,0.944,0.874,0.116,1,0.484,0.122,NA,0.054,0.19,0.206,0.104,0.2,TRUE,TRUE
"Netherlands",10,2,2,2,1,-0.751,0.135,-0.439,-0.497,-0.547,-0.598,-0.146,0.158,0.188,0.61,0.952,0.264,0.792,0.886,0.96,1,0.818,0.198,0.334,0.04,0.102,0.568,0.436,0.256,0.053,0.002,0.424,0.37,0.648,0.11,TRUE,TRUE
"Poland",10,2,1,1,1,-0.231,0.003,0.36,0.274,0.189,0.225,-0.305,-0.378,0.446,-0.766,0.69,0.456,0.222,0.264,0.205,0.02,0.988,1,0.078,1,0.67,1,0.482,0.564,0.513,0.034,0.028,0.002,0.162,0.004,TRUE,TRUE
"Portugal",10,2,2,3,1,-0.841,-0.024,0.858,0.48,0.085,-0.168,-0.6,-0.467,-0.213,0.286,0.996,0.552,0.006,0.11,0.378,0.99,1,1,0.782,0.18,0.004,0.878,0.006,0.202,0.778,0.028,0,0,0.456,0.414,TRUE,TRUE
"Romania",10,2,1,1,0,-0.632,0.032,0.674,0.621,0.355,0.021,-0.663,-0.537,0.547,0.274,0.932,0.42,0.056,0.074,0.114,0.45,1,1,0.038,0.29,0.17,0.93,0.136,0.162,0.304,0.896,0,0,0.094,0.618,TRUE,TRUE
"Slovakia",10,2,3,1,1,-0.481,-0.002,-0.007,-0.443,-0.461,-0.332,-0.169,0.049,0.045,0.152,0.92,0.486,0.54,0.9,0.96,1,0.964,0.346,0.4,0.332,0.158,0.976,0.978,0.234,0.087,0,0.092,0.654,0.85,0.664,TRUE,TRUE
"Slovenia",10,2,1,1,1,0.057,0.242,0.106,0.068,-0.021,0.054,-0.177,-0.124,-0.238,-0.148,0.458,0.02,0.366,0.39,0.459,0.276,0.946,0.872,0.796,0.636,0.902,0.038,0.808,0.852,0.951,0.53,0.098,0.236,0.38,0.69,TRUE,TRUE
"Sweden",10,2,3,4,0,-0.789,0.147,0.074,0.147,0.281,-0.48,-0.463,-0.032,0.042,-0.579,0.974,0.212,0.456,0.378,0.255,1,1,0.612,0.472,0.912,0.06,0.514,0.922,0.822,0.48,0,0,0.854,0.944,0.166,TRUE,TRUE
"United Kingdom",10,2,2,5,1,0.237,-0.03,0.209,0.276,-0.293,0.343,0.07,-0.137,0.433,0.273,0.336,0.556,0.258,0.222,0.818,0,0.27,0.888,0.048,0.208,0.544,0.844,0.616,0.478,0.295,0,0.558,0.232,0.118,0.46,TRUE,TRUE
"Austria",11,2,2,2,0,-0.587,-0.04,0.222,-0.238,-0.336,-0.581,-0.303,0.109,-0.125,0.204,0.988,0.604,0.206,0.798,1,1,1,0.098,0.658,0.206,0.024,0.628,0.406,0.392,0,0,0,0.214,0.606,0.44,TRUE,TRUE
"Belgium",11,2,4,5,1,-0.604,0.119,0.189,-0.06,-0.181,-0.292,-0.427,-0.241,0.226,-0.07,0.952,0.118,0.33,0.568,0.727,1,1,1,0.218,0.566,0.094,0.254,0.626,0.894,0.409,0,0,0.004,0.426,0.834,TRUE,TRUE
"Bulgaria",11,2,1,1,1,0.029,0.124,-0.651,-0.676,NA,-0.532,0.385,0.363,0.486,-0.81,0.496,0.348,0.856,0.902,NA,1,0.018,0.018,0.1,0.976,0.994,0.718,0.256,0.19,NA,0,0.028,0.04,0.206,0.042,TRUE,TRUE
"Croatia",11,2,1,1,0,-0.652,0.225,0.735,-0.436,NA,0.112,-0.837,-0.837,0.466,-0.238,0.884,0.146,0.062,0.742,NA,0.156,1,1,0.132,0.664,0.236,0.382,0.12,0.462,NA,0.322,0,0,0.244,0.634,TRUE,TRUE
"Cyprus",11,2,2,2,1,-0.413,0.231,0.398,0.083,0.095,-0.394,-0.225,0.022,0.11,-0.283,0.962,0.004,0.048,0.352,0.133,0.982,0.99,0.382,0.26,0.898,0.082,0.004,0.086,0.728,0.4,0.024,0.032,0.808,0.558,0.198,TRUE,TRUE
"Czechia",11,2,2,2,1,-0.35,-0.079,-0.182,-0.219,-0.413,-0.046,-0.323,-0.25,0.244,-0.154,0.856,0.768,0.71,0.726,0.974,0.758,1,1,0.182,0.7,0.298,0.416,0.588,0.532,0.06,0.49,0,0,0.38,0.59,TRUE,TRUE
"Denmark",11,2,1,1,1,0.183,0,0.667,0.667,NA,-0.548,0.333,0.333,-0.667,-0.183,0.574,0.582,0.25,0.24,NA,0.836,0.398,0.392,0.966,0.376,0.876,1,0.63,0.512,NA,0.31,0.752,0.744,0.34,0.864,TRUE,TRUE
"Estonia",11,2,1,1,1,0.372,0.113,0.047,0.12,0.165,-0.049,0.226,0.173,0.45,0.289,0.186,0.188,0.466,0.424,0.264,0.692,0.026,0.078,0.048,0.194,0.378,0.454,0.916,0.822,0.545,0.606,0.05,0.156,0.112,0.428,TRUE,TRUE
"Finland",11,2,2,1,1,-0.216,0.09,0.268,0.245,0.284,-0.173,-0.063,-0.027,-0.158,0.279,0.74,0.242,0.23,0.224,0,1,0.742,0.59,0.742,0.16,0.552,0.516,0.474,0.482,0.071,0.002,0.484,0.782,0.532,0.35,TRUE,TRUE
"France",11,2,5,5,1,0.034,0.118,-0.107,-0.217,-0.09,0.039,0.053,-0.028,0.365,-0.097,0.42,0.016,0.7,0.832,0.8,0.076,0.162,0.696,0.028,0.712,0.864,0.02,0.634,0.356,0.289,0.15,0.318,0.618,0.054,0.624,TRUE,TRUE
"Germany",11,2,5,2,1,-0.693,-0.052,-0.38,-0.577,-0.682,-0.648,-0.136,0.31,0.194,-0.022,0.986,0.656,0.836,0.958,0.997,1,0.892,0,0.23,0.52,0.028,0.592,0.304,0.086,0.006,0,0.184,0,0.484,0.95,TRUE,TRUE
"Greece",11,2,2,1,1,-0.506,-0.151,0.365,0.125,NA,-0.394,-0.342,-0.048,-0.042,-0.207,0.924,0.88,0.148,0.37,NA,1,1,0.668,0.534,0.746,0.148,0.254,0.312,0.74,NA,0,0,0.642,0.888,0.528,TRUE,TRUE
